,Gonzalez_Reiche_2023,Jin_2023,Liu_2023,Misra_2023,Penas‑Utrilla_2023,Perez_Florido_2023,Prost_2023,Selvavinayagam_2023,Taboada_2023,Ulhuq_2023,Chen_2024,Ignari_2024,Jony_2024,Liu_2024,Manuto_2024,Pavia_2024,Sayama_2024,Singh_2024,Tahsin_2024,Tsai_2024,Zhao_2024
Genbank_Accession,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Study_id,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Collection_Date,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Country,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Locality,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0
Biospecimen_Type,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1
CT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT_precision,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patient_Age,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Patient_Sex,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Symptom_Status,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Symptoms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vaccination_Status,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vaccine_Doses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Expiration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hospitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comorbidity_Status,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comorbidity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCI_Score,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immune_Status,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infection_Length,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxygen_Therapy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antiviral_Treatment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biologic_Therapy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monoclonal_Ab_Treatment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
